"Neighborhood"	"Region"
"Pasir Ris"	"East"
"Mandai"	"North"
"Outram"	"City central"
"Marina South"	"City central"
"Straits View"	"City central"
"Changi"	"East"
"Sembawang"	"North"
"Jurong East"	"West"
"Pioneer"	"West"
"Boon Lay"	"West"
"Bukit Merah"	"Central"
"Western Water Catchment"	"West"
"Ang Mo Kio"	"North-east"
"Jurong West"	"West"
"Tengah"	"West"
"Orchard"	"City central"
"Choa Chu Kang"	"West"
"Simpang"	"North"
"Clementi"	"West"
"Paya Lebar"	"East"
"Woodlands"	"North"
"Sengkang"	"North-east"
"Yishun"	"North"
"Singapore River"	"City central"
"Queenstown"	"Central"
"North-Eastern Islands"	"North-east"
"Bukit Panjang"	"West"
"Tanglin"	"Central"
"Geylang"	"East"
"Punggol"	"North-east"
"Bukit Timah"	"Central"
"Tuas"	"West"
"Lim Chu Kang"	"North"
"Western Islands"	"West"
"Tampines"	"East"
"Seletar"	"North-east"
"Sungei Kadut"	"North"
"Bukit Batok"	"West"
"Museum"	"City central"
"River Valley"	"City central"
"Changi Bay"	"East"
"Southern Islands"	"Central"
"Central Water Catchment"	"North"
"Newton"	"City central"
"Marine Parade"	"East"
"Downtown Core"	"City central"
"Kallang"	"East"
"Bishan"	"Central"
"Toa Payoh"	"Central"
"Hougang"	"North-east"
"Serangoon"	"North-east"
"Bedok"	"East"
"Rochor"	"City central"
"Marina East"	"City central"
"Novena"	"Central"
