"Date"	"Time"	"Taxi.avail"	"Wday"	"IsWday"
2015-07-07	2015-07-07 07:43:52	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:50:01	2	"Tues"	"Weekday"
2015-07-07	2015-07-07 12:55:01	2	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:00:01	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:15:01	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:45:01	2	"Tues"	"Weekday"
2015-07-07	2015-07-07 13:55:02	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:00:02	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:05:01	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:20:02	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:25:01	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:30:02	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:35:01	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:45:01	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:50:01	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 14:55:02	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:00:02	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:05:01	2	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:10:02	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:25:01	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:30:02	2	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:35:02	2	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:40:01	2	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:45:01	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 15:50:02	2	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:00:02	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:05:01	3	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:10:01	2	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:35:01	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 16:45:02	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 20:55:01	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 21:30:01	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:05:01	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:10:02	2	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:15:01	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:25:01	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:35:01	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:40:02	2	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:45:01	1	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:50:01	4	"Tues"	"Weekday"
2015-07-07	2015-07-07 22:55:01	4	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:00:01	5	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:05:01	5	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:10:01	3	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:15:01	2	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:20:01	4	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:25:01	3	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:30:01	3	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:35:01	3	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:40:01	4	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:45:01	2	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:50:01	5	"Tues"	"Weekday"
2015-07-07	2015-07-07 23:55:01	7	"Tues"	"Weekday"
2015-07-08	2015-07-08 00:00:01	4	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:05:01	8	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:10:01	10	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:15:01	11	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:20:01	15	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:25:02	10	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:30:02	8	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:35:01	13	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:40:01	9	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:45:02	9	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:50:01	4	"Wed"	"Weekday"
2015-07-08	2015-07-08 00:55:01	6	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:00:01	5	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:05:01	5	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:10:02	10	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:15:02	12	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:20:02	12	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:25:02	10	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:30:01	4	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:35:01	5	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:40:01	6	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:45:01	5	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:50:01	4	"Wed"	"Weekday"
2015-07-08	2015-07-08 01:55:02	3	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:00:01	5	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:05:01	3	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:10:02	3	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:15:01	2	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:20:02	4	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:25:02	6	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:30:01	3	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:35:01	2	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:40:01	1	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:45:01	1	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:50:02	1	"Wed"	"Weekday"
2015-07-08	2015-07-08 02:55:01	2	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:00:01	3	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:05:01	6	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:10:01	5	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:15:02	3	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:20:01	2	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:25:02	4	"Wed"	"Weekday"
2015-07-08	2015-07-08 03:30:01	5	"Wed"	"Weekday"
